y1[px],y2[px],x1[px],x2[px],instru[px],x1_center[px],instru2[px],x2_center[px],wavelength1[nm],wavelength2[nm],linear dispersion,number in each channel,band,final ch,check ch,signal quality,comment,Group,Probe number,Ar_line,Ar_line[px]
449,442.0,267.0,609.0,26.97907788801576,268.7188703180274,27.15352616764782,613.1977206351687,480.7019,479.2619,0.004180227606641961,15.0,green,79.0,18.0,not very good,the peak is not smooth enough,Group1,14-30,292.61230613031245,293
469,465.0,267.0,609.0,26.96318557747536,268.3735960872108,26.66747447859091,611.3438778993818,480.7019,479.2619,0.004198614504998481,14.0,green,78.0,19.0,good,pretty reasonable line shape,Group1,7-30,292.1623959118038,292
494,488.0,267.0,609.0,25.29533907480394,271.0530507234709,28.35187294513007,615.3210017902346,480.7019,479.2619,0.004182788422616601,13.0,green,77.0,20.0,not very good,the line shape is not smooth enough,Group1,14-0,294.9318583294172,295
515,510.0,267.0,609.0,24.02888676703889,265.5345785817725,24.01268953703284,609.8701137568816,480.7019,479.2619,0.004181967450056229,12.0,green,76.0,21.0,good,good line shape,Group1,7-0,289.41807389656714,289
559,554.0,267.0,609.0,26.94324295568859,268.5632381265484,27.00434722092461,612.5986282951797,480.7019,479.2619,0.004185615902172657,10.0,green,74.0,23.0,good,the peak is not perfect,Group2,13-30,292.42591505019925,292
583,578.0,267.0,609.0,27.74505828531183,267.82533499687,27.78019832172756,610.0305255863672,480.7019,479.2619,0.00420800163059886,9.0,green,73.0,24.0,good,the peak is not perfect,Group2,6-30,291.561067244157,292
602,598.0,267.0,609.0,27.08174446249119,265.0530089844542,25.27114289924801,607.7458672516236,480.7019,479.2619,0.00420201345099917,8.0,green,72.0,25.0,good,the peak is not perfect,Group2,13-0,288.8225664037175,289
625,619.0,267.0,609.0,26.25091324130421,267.2818874914306,29.20055848466132,610.1397485009593,480.7019,479.2619,0.004199991202651693,7.0,green,71.0,26.0,good,the line shape is not perfect,Group2,6-0,291.06288968424036,291
646,640.0,267.0,609.0,26.23142534569742,265.3416116810536,29.13108459384761,609.1628458486464,480.7019,479.2619,0.004188222997588572,6.0,green,70.0,27.0,good,the peak is not perfect,Group3,12-30,289.1894345065213,289
667,662.0,267.0,609.0,22.61134397300354,269.1573786903691,18.45533511091412,612.3133358853063,480.7019,479.2619,0.004196342711841585,5.0,green,69.0,28.0,good,the line shape is not perfect,Group3,5-30,292.9590571658168,293
